site,lat,lon,planting_date_f,harvesting_date_f,doy_planting,year_planting,doy_harvesting,year_harvesting,season_length,season,cut,cultivar,ingeno_dssat,cultivar_name_dssat,field,date_planting,soil,prod_env,TAV,year,measured_data,measured_data_descr,dssat_output,Soil_Type_Shp,DSSAT_Soil,Choosing_Criteria,WTH_code,plme,rowspacing,unique_run_id
Ferrari,-21.94,-47.5,06/30/2012,06/30/2013,182,2012,181,2013,365,ratoon_1,1,RB867515,RB0001,RB867515,3,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2013,111.1,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_3_RB0001_12_13
Ferrari,-21.94,-47.5,06/30/2013,06/30/2014,181,2013,181,2014,365,ratoon_2,2,RB867515,RB0001,RB867515,3,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2014,76.74,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_3_RB0001_13_14
Ferrari,-21.94,-47.5,06/30/2014,06/30/2015,181,2014,181,2015,365,ratoon_3,3,RB867515,RB0001,RB867515,3,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2015,96.95,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_3_RB0001_14_15
Ferrari,-21.94,-47.5,06/30/2012,06/30/2013,182,2012,181,2013,365,ratoon_1,1,RB867515,RB0001,RB867515,4,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2013,111.09,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_4_RB0001_12_13
Ferrari,-21.94,-47.5,06/30/2013,06/30/2014,181,2013,181,2014,365,ratoon_2,2,RB867515,RB0001,RB867515,4,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2014,76.75,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_4_RB0001_13_14
Ferrari,-21.94,-47.5,06/30/2014,06/30/2015,181,2014,181,2015,365,ratoon_3,3,RB867515,RB0001,RB867515,4,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2015,96.95,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_4_RB0001_14_15
Ferrari,-21.94,-47.5,07/20/2011,09/20/2012,201,2011,264,2012,428,plant,0,RB867515,RB0001,RB867515,5,07/20/2011,LATOSSOLO VERMELHO/AMARELO,C2,Low TAV,2012,111,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,H,140,FERR_5_RB0001_11_12
Ferrari,-21.94,-47.5,09/20/2012,09/20/2013,264,2012,263,2013,365,ratoon_1,1,RB867515,RB0001,RB867515,5,07/20/2011,LATOSSOLO VERMELHO/AMARELO,C2,Low TAV,2013,111,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_5_RB0001_12_13
Ferrari,-21.94,-47.5,09/20/2014,09/20/2015,263,2014,263,2015,365,ratoon_3,3,RB867515,RB0001,RB867515,5,07/20/2011,LATOSSOLO VERMELHO/AMARELO,C2,Low TAV,2015,96.95,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_5_RB0001_14_15
Ferrari,-21.94,-47.5,07/20/2011,09/20/2012,201,2011,264,2012,428,plant,0,RB867515,RB0001,RB867515,6,07/20/2011,LATOSSOLO VERMELHO/AMARELO,C2,Low TAV,2012,111,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,H,140,FERR_6_RB0001_11_12
Ferrari,-21.94,-47.5,09/20/2012,09/20/2013,264,2012,263,2013,365,ratoon_1,1,RB867515,RB0001,RB867515,6,07/20/2011,LATOSSOLO VERMELHO/AMARELO,C2,Low TAV,2013,111,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_6_RB0001_12_13
Ferrari,-21.94,-47.5,09/20/2014,09/20/2015,263,2014,263,2015,365,ratoon_3,3,RB867515,RB0001,RB867515,6,07/20/2011,LATOSSOLO VERMELHO/AMARELO,C2,Low TAV,2015,96.94,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_6_RB0001_14_15
Ferrari,-21.94,-47.5,07/20/2011,09/20/2012,201,2011,264,2012,428,plant,0,RB966928,RB0008,RB966928,7,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2012,111.03,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,H,140,FERR_7_RB0008_11_12
Ferrari,-21.94,-47.5,09/20/2012,09/20/2013,264,2012,263,2013,365,ratoon_1,1,RB966928,RB0008,RB966928,7,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2013,151.53,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_7_RB0008_12_13
Ferrari,-21.94,-47.5,09/20/2013,09/20/2014,263,2013,263,2014,365,ratoon_2,2,RB966928,RB0008,RB966928,7,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2014,108.15,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_7_RB0008_13_14
Ferrari,-21.94,-47.5,09/20/2014,09/20/2015,263,2014,263,2015,365,ratoon_3,3,RB966928,RB0008,RB966928,7,07/20/2011,LATOSSOLO VERMELHO/AMARELO,D1,Low TAV,2015,120.52,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_7_RB0008_14_15
Ferrari,-21.94,-47.5,09/20/2012,09/20/2013,264,2012,263,2013,365,ratoon_1,1,RB966928,RB0008,RB966928,9,07/20/2011,LATOSSOLO VERMELHO/AMARELO,C2,Low TAV,2013,151.53,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_9_RB0008_12_13
Ferrari,-21.94,-47.5,09/20/2013,09/20/2014,263,2013,263,2014,365,ratoon_2,2,RB966928,RB0008,RB966928,9,07/20/2011,LATOSSOLO VERMELHO/AMARELO,C2,Low TAV,2014,108.15,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_9_RB0008_13_14
Ferrari,-21.94,-47.5,09/20/2014,09/20/2015,263,2014,263,2015,365,ratoon_3,3,RB966928,RB0008,RB966928,9,07/20/2011,LATOSSOLO VERMELHO/AMARELO,C2,Low TAV,2015,120.52,stalk fresh mass (t ha-1),SMFMD,3,SCSO000001,Available prod_env (Low TAV),FERR,R,140,FERR_9_RB0008_14_15
